cba_name;formato_objetivo;supermarket;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;match_score;detail_url
Queso gouda;150 g a 500 g;unimarc;90828;Queso gouda Surlat laminado sin lactosa 200 g;Surlat;3550.0;3550.0;3550.0;;Kg;1 un;mass;200.0;;;17.75;;Quesos;Gauda y ranco;6.0;https://www.unimarc.cl/queso-gouda-lam-s-lactosa-surlat-200gr/p
Queso crema;100 g a 300 g;jumbo;84334;Queso Crema Cuisine & Co Envasado 226 g;Cuisine & Co;3190.0;3190.0;3190.0;;;;mass;226.0;;;14.11504424778761;;;Quesos (Mostrar todo);6.0;https://www.jumbo.cl/queso-crema-pasteurizado-226-g-cuisine-and-co-1820460/p
Queso crema;100 g a 300 g;jumbo;112391;Queso Crema Cuisine & Co 67 Calorías 227 g;Cuisine & Co;3190.0;3190.0;3190.0;;;;mass;227.0;;;14.052863436123348;;;Quesos (Mostrar todo);6.0;https://www.jumbo.cl/cream-cheese-67-kcal-cuisine-and-co-227g-1898632/p
Queso crema;100 g a 300 g;jumbo;85186;Queso Crema Santa Rosa Envasado Pote 150 g;Santa Rosa;3790.0;3790.0;3790.0;;;;mass;150.0;;;25.266666666666666;;;Chacras, Frescos y Quesillos;6.0;https://www.jumbo.cl/queso-crema-de-ricotta-santa-rosa-150-gr/p
Queso crema;100 g a 300 g;lider;dom_9;Queso Crema Natural, 200 g;;6450.0;6450.0;200.0;;;;mass;200.0;;;32.25;;Quesos > Untable y Fundido;;6.0;https://super.lider.cl/ip/quesos/00780290000126
Queso crema;100 g a 300 g;lider;dom_6;Queso Crema Untable Fresco Sabor Natural, 140 g;;7143.0;7143.0;350.0;;;;mass;140.0;;;51.02142857142857;;Quesos > Untable y Fundido;;6.0;https://super.lider.cl/ip/quesos/00780293000387
Queso crema;100 g a 300 g;lider;dom_8;Queso Crema Natural Untable, 100 g;;8400.0;8400.0;840.0;;;;mass;100.0;;;84.0;;Quesos > Untable y Fundido;;6.0;https://super.lider.cl/ip/quesos/00780290000123
Queso crema;100 g a 300 g;lider;dom_19;Queso Crema Con Ají Merkén, 200 g;;8750.0;8750.0;1750.0;;;;mass;200.0;;;43.75;;Quesos > Untable y Fundido;;6.0;https://super.lider.cl/ip/quesos/00780292080214
Queso crema;100 g a 300 g;lider;dom_2;Queso Crema Untable Natural, 100 g;;8900.0;8900.0;890.0;;;;mass;100.0;;;89.0;;Quesos > Untable y Fundido;;6.0;https://super.lider.cl/ip/quesos/00780292046310
Queso crema;100 g a 300 g;unimarc;396;Queso crema Soprole sabor natural 100 g;Soprole;840.0;840.0;840.0;;Kg;1 un;mass;100.0;;;8.4;;Quesos;Queso crema y untables;6.0;https://www.unimarc.cl/queso-crema-natural-soprole-100-g/p
