group_id;supermarket;name;brand;category_std;unit;unit_family;net_content;size_std;price;price_num;detail_url
14689;unimarc;Whisky Blenders apple botella 750 cc;Blenders;;litro;;1 un;;8790;8790.0;https://www.unimarc.cl/coctel-whisky-blenders-apple-750-ml-bot/p
14690;unimarc;Whisky Ballantines wild cereza botella 700 cc;Ballantines;;litro;;1 un;;13590;13590.0;https://www.unimarc.cl/whisky-cereza-ballantines-wild-700cc-bot/p
14691;unimarc;Whisky Johnnie walker gold 750 cc;Johnnie Walker;;litro;;1 un;;62990;62990.0;https://www.unimarc.cl/whisky-gold-jwalker-750cc-bot/p
9717;unimarc;Whisky Johnnie Walker green label 750 cc;Johnnie Walker;;litro;;1 un;;79990;79990.0;https://www.unimarc.cl/whisky-green-label-j-walker-750-ml-bot/p
14692;unimarc;Whisky Ballantines finest botella 1.5 L;Ballantines;;litro;;1 un;;21990;21990.0;https://www.unimarc.cl/whisky-finest-ballantines-1-5-lt-bot/p
14693;unimarc;Whisky Ballantine`s 40 ° 750 cc;Ballantines;;litro;;1 un;;13990;13990.0;https://www.unimarc.cl/whisky-40-finest-750-cc/p
14694;unimarc;Scotch Whisky The Guiligans distinguished 750 cc;The Guiligans;;litro;;1 un;;13690;13690.0;https://www.unimarc.cl/whisky-scotch-the-guiligan-s-750-cc-bot/p
14695;unimarc;Whisky Blenders Pride honey botella 750 cc;Blenders Pride;;litro;;1 un;;8790;8790.0;https://www.unimarc.cl/whisky-blenders-honey-750-cc-bot/p
14696;unimarc;Whisky Chivas Regal 15 años 750 cc;Chivas Regal;;litro;;1 un;;49990;49990.0;https://www.unimarc.cl/whisky-chivas-regal-xv-a-750-ml-bot/p
14697;unimarc;Whisky Ballantines sunshine piña 700 ml;Ballantines;;litro;;1 un;;13990;13990.0;https://www.unimarc.cl/whisky-sunshine-pina-ballantines-700-bot/p
14698;unimarc;Whisky The Glenlivet founders reserve botella 700 cc;The Glenlivet;;litro;;1 un;;36990;36990.0;https://www.unimarc.cl/whisky-founders-res-glenlivet-700-ml-bot/p
14699;unimarc;Whisky White Horse 1 L;White Horse;;litro;;1 un;;13690;13690.0;https://www.unimarc.cl/whisky-white-horse-1lt-bot/p
14700;unimarc;Whisky Jim Beam bourbon white 750 cc;Jim Beam;;litro;;1 un;;21190;21190.0;https://www.unimarc.cl/whisky-white-jim-beam-750-cc-bot/p
14701;unimarc;Whisky Blenders estilo americano botella 750 cc;Blenders;;litro;;1 un;;8790;8790.0;https://www.unimarc.cl/destilado-est-americano-blenders-750-bot/p
14702;unimarc;Cóctel Whisky Jack Daniels y coca cola sin azúcar lata 350 ml;Jack Daniels;;litro;;1 un;;2150;2150.0;https://www.unimarc.cl/whisky-c-cc-s-a-jack-daniels-350-ml-lata/p
14703;unimarc;Whisky Fireball cinnamon 750 cc;Fireball;;litro;;1 un;;14990;14990.0;https://www.unimarc.cl/whisky-fireball-cinnamon-750-bot/p
14704;unimarc;Whisky Texas Bourbon TX botella 700 cc;Tx;;litro;;1 un;;23990;23990.0;https://www.unimarc.cl/whiskey-bourbon-tx-700-ml-bot/p
14705;unimarc;Whisky Cutty Sark botella 700 cc;Cutty Sark;;litro;;1 un;;12890;12890.0;https://www.unimarc.cl/whisky-cutty-sark-700-ml-bot/p
14706;unimarc;Whisky Buchanans pineapple 750 cc;Buchanans;;litro;;1 un;;32990;32990.0;https://www.unimarc.cl/whisky-pineapple-buchanans-750-ml-bot/p
14707;unimarc;Whisky Jim Beam honey botella 700 cc;Jim Beam;;litro;;1 un;;19790;19790.0;https://www.unimarc.cl/whisky-jim-beam-honey-700-cc-bot/p
14708;unimarc;Whisky Ballantine's 10 años botella 750 cc;Ballantines;;litro;;1 un;;21990;21990.0;https://www.unimarc.cl/whisky-ballantines-10-years-750-ml-bot/p
14709;unimarc;Whisky apple Jim Beam botella 700ml WHISKY JIM BEAM APPLE 700 CC BOT;Jim Beam;;;;;;0;0.0;https://www.unimarc.cl/whisky-jim-beam-apple-700-cc-bot/p
14710;unimarc;Licor aperitivo rosato Ramazzotti 700 cc;Ramazzotti;;litro;;1 un;;13690;13690.0;https://www.unimarc.cl/licor-ros-ramazzotti-700-cc-bot/p
14711;unimarc;Fernet Branca 750 cc;Branca;;litro;;1 un;;10190;10190.0;https://www.unimarc.cl/fernet-branca-750-cc-bot/p
14712;unimarc;Tequila blanco Don Julio botella 750 cc;Don Julio;;litro;;1 un;;43390;43390.0;https://www.unimarc.cl/tequila-blanco-don-julio-750-ml-bot/p
14713;unimarc;Tequila Olmeca blanco botella 700 cc;Olmeca;;litro;;1 un;;13890;13890.0;https://www.unimarc.cl/tequila-olmeca-blanco-700-cc-bot/p
14714;unimarc;Aguardiente Loncomilla 900 cc;Loncomilla;;litro;;1 un;;4990;4990.0;https://www.unimarc.cl/aguard-loncom-mitjans-900cc-bot/p
14715;unimarc;Licor spritz hibiscus Rossard botella 1 L;Rossard;;litro;;1 un;;8990;8990.0;https://www.unimarc.cl/licor-spritz-hibiscus-rossard-1lt-bot/p
14716;unimarc;Licor fernet Buhero negro botella 700 cc;Buhero;;litro;;1 un;;10090;10090.0;https://www.unimarc.cl/licor-fernet-buhero-negro-700-cc-bot/p
14717;unimarc;Fernet Branca a la menta botella 750 cc;Branca;;litro;;1 un;;10990;10990.0;https://www.unimarc.cl/fernet-a-la-menta-ri-branca-750-cc-bot/p
14718;unimarc;Licor Aspritz Rossard 1 L;Rossard;;litro;;1 un;;9090;9090.0;https://www.unimarc.cl/licor-aspritz-rossard-1-lt-bot/p
14719;unimarc;Vermouth rosso Rossard 1 L;Rossard;;litro;;1 un;;5590;5590.0;https://www.unimarc.cl/vermouth-rosso-rossard-1-lt-bot/p
14720;unimarc;Licor fernet 1882 botella 750 cc;1882;;litro;;1 un;;9490;9490.0;https://www.unimarc.cl/licor-fernet-1882-750-cc-bot/p
14721;unimarc;Vermouth Carpano rosso botella 950 cc;Carpano;;litro;;1 un;;8090;8090.0;https://www.unimarc.cl/vermouth-carpano-rosso-950-cc-bot/p
14722;unimarc;Fernet Branca botella 1 L;Branca;;litro;;1 un;;15990;15990.0;https://www.unimarc.cl/fernet-branca-1-lt-bot/p
14723;unimarc;Sidra Rama Caída botella 710 cc;Rama Caida;;litro;;1 un;;5490;5490.0;https://www.unimarc.cl/sidra-rama-caida-710-ml-bot/p
14724;unimarc;Sidra 1888 cosecha especial botella 750 cc;1888;;litro;;1 un;;5290;5290.0;https://www.unimarc.cl/sidra-manzana-c-especial-1888-750-cc-bot/p
14725;unimarc;Tequila Sombrero Negro blanco botella 750 cc;Sombrero Negro;;litro;;1 un;;13990;13990.0;https://www.unimarc.cl/teq-bco-sombrero-negro-750cc-bot/p
14726;unimarc;Licor de hierbas Jagermeister botella 1 L;Jagermeister;;litro;;1 un;;22990;22990.0;https://www.unimarc.cl/licor-de-hierbas-jagermeister-1-lt/p
14727;unimarc;Licor de hierbas Jagermeister 700 cc;Jagermeister;;litro;;1 un;;16390;16390.0;https://www.unimarc.cl/licor-de-hierbas-jagermeister-700-ml/p
14728;unimarc;Cogñac añejado 3 Palos 750 cc;Tres Palos;;litro;;1 un;;5990;5990.0;https://www.unimarc.cl/licor-dest-tres-palos-750-cc-bot/p
14729;unimarc;Licor aperitivo violetto Ramazzotti 700 cc;Ramazzotti;;litro;;1 un;;13690;13690.0;https://www.unimarc.cl/coctel-violetto-ramazzotti-700-ml-bot/p
14730;unimarc;Licor Araucano bitter 900 cc;Tres Torres;;litro;;1 un;;9690;9690.0;https://www.unimarc.cl/licor-bitter-araucano-900-cc-bot/p
14731;unimarc;Licor amaretto Disaronno botella 700 cc;Disaronno;;litro;;1 un;;24590;24590.0;https://www.unimarc.cl/amaretto-disaronno-750-ml/p
14732;unimarc;Cachaza 51 brazil botella 965 cc;51;;litro;;1 un;;7790;7790.0;https://www.unimarc.cl/cachaza-51-brazil-965-cc-bot/p
14733;unimarc;Licor Mitjans amaretto botella 750 cc;Mitjans;;litro;;1 un;;7490;7490.0;https://www.unimarc.cl/amaretto-mitjans-750-cc-bot/p
14734;unimarc;Vermouth bianco Martini 750 cc;Martini;;litro;;1 un;;7690;7690.0;https://www.unimarc.cl/vermouth-bianco-martini-750c-bot/p
14735;unimarc;Licor Mitjans Triple Seco 750 cc;Mitjans;;litro;;1 un;;7490;7490.0;https://www.unimarc.cl/licor-t-sec-mitjans-750-cc-bot/p
14736;unimarc;Licor Campari 750 cc;Campari;;litro;;1 un;;16690;16690.0;https://www.unimarc.cl/licor-campari-750-cc-bot/p
